"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19456","User searches and downloads a specific Voucher","","Mon May 05 19:20:43 IST 2025","passed","Mon May 05 19:21:02 IST 2025","","","",""
"","14461","user is able to enter the search menu in Roles page","","Wed Apr 30 13:59:20 IST 2025","passed","Wed Apr 30 13:59:34 IST 2025","","","",""
"Feature Write Demo test cases for testing perpose","554","Sucess Login","","Fri Apr 25 22:33:34 IST 2025","passed","Fri Apr 25 22:33:35 IST 2025","","","",""
"","13472","user is able to enter the search menu in Outbound EDI 301 FTP Settings page","","Wed Apr 30 13:59:23 IST 2025","passed","Wed Apr 30 13:59:37 IST 2025","","","",""
"","14102","user is able to enter the search menu in Paired Move FTP Settings page","","Wed Apr 30 13:59:22 IST 2025","passed","Wed Apr 30 13:59:36 IST 2025","","","",""
"","11556","The CMS Company Search page supports searching Haulage Data - 301 details.","","Wed May 07 18:09:19 IST 2025","passed","Wed May 07 18:09:31 IST 2025","","","",""
"","41579","user is able to enter the search menu in EDI File Processing page","","Tue May 06 23:12:20 IST 2025","broken","Tue May 06 23:13:02 IST 2025","","","",""
"","15732","user is able to enter the search menu in System Translates Codes page","","Wed Apr 30 13:59:21 IST 2025","passed","Wed Apr 30 13:59:37 IST 2025","","","",""
"","13362","user is able to enter the search menu in Companies page","","Wed Apr 30 19:15:53 IST 2025","passed","Wed Apr 30 19:16:06 IST 2025","","","",""
"","15309","The CMS Company Search page supports searching Outbound EDI 301 FTP Settings details.","","Wed May 07 18:03:49 IST 2025","passed","Wed May 07 18:04:04 IST 2025","","","",""
"Feature Write Demo test cases for testing perpose","236","UnSucess Login with wrong password","","Fri Apr 25 22:33:35 IST 2025","passed","Fri Apr 25 22:33:35 IST 2025","","","",""
"","15010","user is able to enter the search menu in Pool Drop Locations Notification page","","Mon Apr 28 20:13:20 IST 2025","passed","Mon Apr 28 20:13:35 IST 2025","","","",""
"","12915","user is able to enter the search menu in Ext-Locations page","","Tue May 06 23:59:09 IST 2025","passed","Tue May 06 23:59:22 IST 2025","","","",""
"","13933","The CMS Company Search page supports searching Pools details.","","Wed May 07 18:04:04 IST 2025","passed","Wed May 07 18:04:18 IST 2025","","","",""
"","19061","The CMS Company Search page supports searching Default OC Haulage Type details.","","Wed May 07 18:05:28 IST 2025","passed","Wed May 07 18:05:47 IST 2025","","","",""
"Feature Write Demo test cases for testing perpose","200","verify home page logo","","Fri Apr 25 22:33:36 IST 2025","passed","Fri Apr 25 22:33:36 IST 2025","","","",""
"","18150","user is able to enter the search menu in Pools page","","Tue May 06 23:58:51 IST 2025","passed","Tue May 06 23:59:09 IST 2025","","","",""
"","11546","The CMS Company Search page supports searching Search Sent File Queue details.","","Wed May 07 18:05:07 IST 2025","passed","Wed May 07 18:05:18 IST 2025","","","",""
"","11460","The CMS Company Search page supports searching for Search Paired Move FTP Settings details.","","Wed May 07 18:03:37 IST 2025","passed","Wed May 07 18:03:49 IST 2025","","","",""
"","12367","user is able to enter the search menu in Pool Unauthorized Mappings page","","Mon Apr 28 20:12:26 IST 2025","passed","Mon Apr 28 20:12:39 IST 2025","","","",""
"","20539","user is able to enter the search menu in Mass Coop/Decoop page","","Mon Apr 28 20:14:23 IST 2025","passed","Mon Apr 28 20:14:44 IST 2025","","","",""
"","23719","user is able to enter the search menu in Units page","","Tue May 06 23:59:38 IST 2025","passed","Wed May 07 00:00:02 IST 2025","","","",""
"","14681","The CMS Roles Search page supports searching for Roles details","","Wed May 07 00:06:10 IST 2025","passed","Wed May 07 00:06:24 IST 2025","","","",""
"","17916","user is able to enter the search menu in Chassis Customer / MC NP Map. page","","Mon Apr 28 20:12:50 IST 2025","passed","Mon Apr 28 20:13:08 IST 2025","","","",""
"","11338","user is able to enter the search menu","","Mon Apr 28 16:36:11 IST 2025","passed","Mon Apr 28 16:36:23 IST 2025","","","",""
"","17418","user is able to enter the search menu in Commercial Data Reprocess page","","Wed Apr 30 13:59:20 IST 2025","passed","Wed Apr 30 13:59:38 IST 2025","","","",""
"","12254","user is able to enter the search menu in Uploaded Fleet Files page","","Mon Apr 28 20:14:11 IST 2025","passed","Mon Apr 28 20:14:23 IST 2025","","","",""
"","10277","The CMS Company Search page supports searching ExtLocations details.","","Wed May 07 18:04:18 IST 2025","passed","Wed May 07 18:04:28 IST 2025","","","",""
"","18860","user is able to enter the search menu in Linked Location Codes page","","Mon Apr 28 20:13:35 IST 2025","passed","Mon Apr 28 20:13:54 IST 2025","","","",""
"","13445","user is able to enter the search menu in Users page","","Wed Apr 30 14:25:17 IST 2025","passed","Wed Apr 30 14:25:30 IST 2025","","","",""
"","40711","The CMS Company Search page supports searching Haulage Data Standard details.","","Wed May 07 18:05:47 IST 2025","broken","Wed May 07 18:06:28 IST 2025","","","",""
"","15555","The CMS Outbound EDI 301 FTP Search page supports searching for Outbound EDI 301 FTP details","","Tue May 06 23:58:36 IST 2025","passed","Tue May 06 23:58:51 IST 2025","","","",""
"","16206","user is able to enter the search menu in Exception Ext-Locations page","","Tue May 06 23:59:22 IST 2025","passed","Tue May 06 23:59:38 IST 2025","","","",""
"Feature Login page will work depending on the user credentials.","11938","Sucess Login","","Fri Apr 25 22:33:36 IST 2025","passed","Fri Apr 25 22:33:48 IST 2025","","","",""
"","12286","The CMS Company Search page supports searching for company details.","","Wed May 07 18:03:02 IST 2025","passed","Wed May 07 18:03:14 IST 2025","","","",""
"","605","verify excel utility","","Mon May 05 20:14:40 IST 2025","passed","Mon May 05 20:14:41 IST 2025","","","",""
"","23180","User export and downloads a specific invoice","","Sun May 04 17:36:09 IST 2025","passed","Sun May 04 17:36:32 IST 2025","","","",""
"","17624","User searches and downloads a specific invoice","","Mon May 05 19:20:25 IST 2025","passed","Mon May 05 19:20:43 IST 2025","","","",""
"","11413","The CMS Company Search page supports searching for Users details.","","Wed May 07 18:03:14 IST 2025","passed","Wed May 07 18:03:26 IST 2025","","","",""
"","18303","The CMS Paired Move FTP Settings Search page supports searching for Paired Move FTP Settings details","","Tue May 06 23:58:17 IST 2025","passed","Tue May 06 23:58:36 IST 2025","","","",""
"","13811","user is able to enter the search menu in Responsible Party Codes page","","Wed Apr 30 13:59:21 IST 2025","passed","Wed Apr 30 13:59:35 IST 2025","","","",""
"Feature Write Demo test cases for testing perpose","227","verify home page url","","Fri Apr 25 22:33:35 IST 2025","passed","Fri Apr 25 22:33:36 IST 2025","","","",""
"","13456","user is able to enter the search menu in Staging Companies page","","Wed Apr 30 14:25:17 IST 2025","passed","Wed Apr 30 14:25:30 IST 2025","","","",""
"","25055","user is able to enter the search menu in EDI File Queue Dashboard page","","Wed May 07 00:00:02 IST 2025","broken","Wed May 07 00:00:27 IST 2025","","","",""
"Feature Write Demo test cases for testing perpose","286","UnSucess Login with wrong username","","Fri Apr 25 22:33:35 IST 2025","passed","Fri Apr 25 22:33:35 IST 2025","","","",""
"","11936","user is able to enter the search menu in Pool Drop Locations Schedule page","","Mon Apr 28 20:13:08 IST 2025","passed","Mon Apr 28 20:13:20 IST 2025","","","",""
"","24277","user is able to enter the search menu in Unit Flags page","","Mon Apr 28 20:15:08 IST 2025","broken","Mon Apr 28 20:15:32 IST 2025","","","",""
"","14841","The CMS Users Search page supports searching for Users details","","Tue May 06 23:57:38 IST 2025","passed","Tue May 06 23:57:53 IST 2025","","","",""
"","10923","The CMS Company Search page supports searching Exception ExtLocations details.","","Wed May 07 18:04:28 IST 2025","passed","Wed May 07 18:04:39 IST 2025","","","",""
"","15579","The CMS Company Search page supports searching Units details.","","Wed May 07 18:04:39 IST 2025","passed","Wed May 07 18:04:55 IST 2025","","","",""
"","11692","The CMS Company Search page supports searching Search EDI File Processing details.","","Wed May 07 18:04:55 IST 2025","passed","Wed May 07 18:05:07 IST 2025","","","",""
"Feature Write Demo test cases for testing perpose","229","verify logout button","","Fri Apr 25 22:33:36 IST 2025","passed","Fri Apr 25 22:33:36 IST 2025","","","",""
"","13348","The CMS Quick Tracking Options page supports selecting options from the menu.","","Wed May 07 18:09:06 IST 2025","passed","Wed May 07 18:09:19 IST 2025","","","",""
"","24624","User searches and downloads a specific invoice","","Wed Apr 30 12:57:14 IST 2025","passed","Wed Apr 30 12:57:38 IST 2025","","","",""
"","11499","The CMS Company Search page supports searching for Roles details.","","Wed May 07 18:03:26 IST 2025","passed","Wed May 07 18:03:37 IST 2025","","","",""
"","19518","The CMS Pool Reference Data Options page supports selecting options from the menu.","","Wed May 07 18:09:31 IST 2025","passed","Wed May 07 18:09:50 IST 2025","","","",""
"","13648","user is able to enter the search menu in Mass Renumber page","","Mon Apr 28 20:15:32 IST 2025","passed","Mon Apr 28 20:15:46 IST 2025","","","",""
"","24265","user is able to enter the search menu in Unit Inspections page","","Mon Apr 28 20:14:44 IST 2025","broken","Mon Apr 28 20:15:08 IST 2025","","","",""
"","11418","user is able to enter the search menu in Pool Classification Mappings page","","Mon Apr 28 20:12:39 IST 2025","passed","Mon Apr 28 20:12:50 IST 2025","","","",""
